Exact Values (Test),Predicted Values
136429.0,141343.78271524655
134079.375,139311.18101824253
6955.2321429,1402.7953093471062
0.0,-6467.401980223481
0.0,-6417.394151620225
0.0,-6387.846668312687
0.0,-6382.807116986961
0.0,-6379.296221594642
0.0,-6376.666985509897
0.0,-6375.965725872461
0.0,-6375.5599406177735
0.0,-6375.3333806302135
0.0,-6375.245304300377
0.0,-6375.202021183747
0.0,-6375.179576413573
0.0,-6375.169801686891
0.0,-6375.165196135146
0.0,-6375.163171194991
0.0,-6375.162804948372
0.0,-6375.163849896934
0.0,-6375.166880755414
0.0,-6375.174235299767
0.0,-6375.1902114391
0.0,-6375.222554778507
0.0,-6375.298041638833
0.0,-6375.470456448072
0.0,-6374.463636525671
0.5,-5618.694828818547
362.66071428,-4948.5741628873475
1248.98214289,-3941.102602118526
2678.9285713,-2543.5602775120187
4647.1964285,-962.3177015324957
6566.6250002,1390.3173273628465
8475.7142857,4144.726553273556
10653.9999999,6897.628514164984
12737.75,10262.614145806398
15167.1428571,13433.5847914836
17973.875,16885.948936500863
21378.2857146,20698.968950477756
24602.625,25254.99935510995
27870.571428,30428.131491767035
31407.375,36301.43533132056
35142.142859,41347.594109653866
39069.375,45862.97728738446
42046.285716,51791.176484708085
46451.0,56961.7009732329
50627.375,60847.388470840626
55489.357143,64766.42815192664
61991.285713,67752.07139953777
68709.910715,70231.72368867621
75184.464285,74127.01262730313
80138.107141,77668.30649242115
84677.571428,80713.52665819605
88892.428573,84227.19224437611
93824.875,88469.56386939928
98820.142857,91574.668552771
102563.375,95209.01531254337
105788.428572,97892.75196447002
109864.125,101572.97670436448
114408.285713,106723.77166965044
117622.267857,109656.45782793051
119392.14285599999,112098.45450050238
119918.767857,115032.22985040728
120603.839286,118272.54934867917
121718.303572,120859.73296391628
123726.910714,123043.36542305192
125175.482142,124646.16300135461
125955.375,126021.62674719623
126559.107146,127216.61143705831
127365.982143,128242.60759771772
128047.0,129122.80376193231
128802.428571,129792.961348921
129191.85714400001,130252.45837629745
129444.625,130522.05746152182
129559.714286,130628.11350492798
129571.0,130636.5650628841
129571.0,130636.44583601817
129571.0,130636.39423159545
129571.0,130636.37222967415
129571.0,130636.3625808421
129571.0,130636.36012225975
129571.0,130636.36390476629
129571.0,130636.37718988764
129571.0,130636.40295346161
129571.0,130636.4618561973
129571.0,130636.6182930268
129571.0,130636.87927730175
129571.0,130637.35885785545
129571.0,130639.37189033638
129571.0,130641.48705474305
129571.0,130645.42074050878
129571.0,130667.56305382361
129571.0,130708.02399010952
129571.0,130627.94781060108
